epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,664.501,1.65899,1.16676,1.18732,0.68492,0.60183,0.67393,0.2967,1.84402,1.29285,1.34524,0.000588479,0.000588479,0.000588479
66,674.254,1.65454,1.12854,1.19604,0.64722,0.61688,0.66381,0.29908,1.86108,1.29964,1.35414,0.000560549,0.000560549,0.000560549
67,684.825,1.65631,1.1586,1.20519,0.65649,0.62183,0.66569,0.2989,1.81839,1.30094,1.32785,0.000533064,0.000533064,0.000533064
68,695.15,1.6311,1.15058,1.1868,0.67701,0.61921,0.66465,0.30107,1.82275,1.30756,1.32357,0.000506049,0.000506049,0.000506049
69,705.891,1.62788,1.12997,1.17606,0.65556,0.64279,0.67406,0.30176,1.85168,1.3074,1.34747,0.000479531,0.000479531,0.000479531
70,717.047,1.65382,1.14727,1.20869,0.67031,0.62858,0.66673,0.29076,1.86854,1.32142,1.35085,0.000453537,0.000453537,0.000453537
71,727.629,1.61597,1.10965,1.18687,0.66968,0.60524,0.66649,0.29425,1.86289,1.2992,1.3424,0.000428093,0.000428093,0.000428093
72,737.905,1.64724,1.11401,1.17658,0.65609,0.6262,0.67635,0.30833,1.82493,1.26329,1.32817,0.000403222,0.000403222,0.000403222
73,748.12,1.65606,1.1387,1.20474,0.65567,0.61699,0.66491,0.29783,1.86342,1.28712,1.3588,0.00037895,0.00037895,0.00037895
74,758.879,1.64956,1.12946,1.19787,0.67899,0.61747,0.68333,0.30103,1.84573,1.28405,1.33644,0.000355301,0.000355301,0.000355301
75,769.571,1.63981,1.11636,1.18088,0.67119,0.63406,0.68141,0.3053,1.87685,1.26907,1.36278,0.000332298,0.000332298,0.000332298
76,779.977,1.62009,1.09941,1.18465,0.66328,0.66376,0.69032,0.31165,1.83536,1.24949,1.33089,0.000309964,0.000309964,0.000309964
77,790.486,1.61738,1.09374,1.19366,0.70155,0.6,0.6766,0.30197,1.86729,1.28222,1.36068,0.000288321,0.000288321,0.000288321
78,800.584,1.60129,1.09332,1.18281,0.6949,0.61467,0.68144,0.30781,1.85666,1.27576,1.35446,0.00026739,0.00026739,0.00026739
79,810.592,1.60564,1.10666,1.18953,0.66609,0.62719,0.68099,0.30453,1.84069,1.26807,1.34207,0.000247192,0.000247192,0.000247192
80,821.582,1.60625,1.09222,1.19078,0.65918,0.61747,0.66187,0.29722,1.87395,1.29517,1.36356,0.000227747,0.000227747,0.000227747
81,832.373,1.5858,1.07474,1.17615,0.67461,0.61746,0.67509,0.30388,1.85873,1.26016,1.35826,0.000209073,0.000209073,0.000209073
82,842.51,1.57703,1.05625,1.17373,0.68395,0.63319,0.67994,0.30332,1.85049,1.27101,1.35887,0.00019119,0.00019119,0.00019119
83,852.468,1.62227,1.07565,1.18445,0.68228,0.63205,0.69087,0.31397,1.83882,1.25154,1.34529,0.000174115,0.000174115,0.000174115
84,862.765,1.56601,1.06229,1.15696,0.6889,0.62271,0.68048,0.30844,1.83545,1.24762,1.34301,0.000157865,0.000157865,0.000157865
85,873.022,1.56721,1.05003,1.17879,0.67694,0.63137,0.67194,0.30755,1.84594,1.2476,1.35289,0.000142456,0.000142456,0.000142456
86,883.97,1.54873,1.04056,1.15818,0.67254,0.65415,0.69357,0.31677,1.84001,1.23408,1.33939,0.000127904,0.000127904,0.000127904
87,894.706,1.57534,1.053,1.16007,0.66467,0.66638,0.695,0.31711,1.83104,1.24297,1.33532,0.000114221,0.000114221,0.000114221
88,904.931,1.55811,1.01943,1.15125,0.67517,0.64989,0.6931,0.31671,1.83765,1.23332,1.34928,0.000101423,0.000101423,0.000101423
89,915.138,1.57285,1.03674,1.16916,0.68375,0.642,0.69788,0.31719,1.84037,1.22829,1.35087,8.95213e-05,8.95213e-05,8.95213e-05
90,926.48,1.56657,1.03496,1.16087,0.68611,0.64017,0.69412,0.31754,1.82439,1.22308,1.33888,7.8528e-05,7.8528e-05,7.8528e-05
91,936.34,1.56711,1.09855,1.20723,0.67161,0.64716,0.68676,0.30959,1.83769,1.22859,1.34976,6.8454e-05,6.8454e-05,6.8454e-05
92,945.167,1.58774,1.07499,1.19658,0.66151,0.6262,0.67722,0.30496,1.85706,1.25278,1.35888,5.93093e-05,5.93093e-05,5.93093e-05
93,954.678,1.55113,1.03573,1.18988,0.65804,0.62445,0.67894,0.30391,1.86145,1.26275,1.35835,5.11027e-05,5.11027e-05,5.11027e-05
94,964.675,1.55908,1.06632,1.20961,0.67468,0.61659,0.68236,0.3066,1.86256,1.24922,1.35709,4.38424e-05,4.38424e-05,4.38424e-05
95,974.607,1.54668,1.04013,1.21115,0.67103,0.64541,0.6908,0.31078,1.85118,1.23868,1.35122,3.75356e-05,3.75356e-05,3.75356e-05
96,984.036,1.5145,1.03182,1.19694,0.67551,0.64907,0.69626,0.31219,1.84283,1.25199,1.34813,3.21885e-05,3.21885e-05,3.21885e-05
97,993.517,1.53265,1.01566,1.19594,0.68382,0.63843,0.6962,0.3125,1.83933,1.25365,1.34575,2.78064e-05,2.78064e-05,2.78064e-05
98,1004.08,1.52944,1.01961,1.19713,0.69087,0.63057,0.70031,0.3135,1.84193,1.25379,1.3471,2.43937e-05,2.43937e-05,2.43937e-05
99,1014.15,1.53347,1.02481,1.20317,0.69933,0.6262,0.69554,0.31343,1.84923,1.24992,1.34955,2.19535e-05,2.19535e-05,2.19535e-05
100,1024.24,1.53385,1.01216,1.18595,0.70869,0.62042,0.69958,0.31394,1.85443,1.24567,1.35121,2.04885e-05,2.04885e-05,2.04885e-05
